t_s,j22,j23,j24,j25,j26,j27,j28,j12
1.300063,0.080150,-0.092554,-0.131575,1.291288,-0.458217,0.000000,0.000000,-0.041568
1.320066,0.080186,-0.092578,-0.131575,1.291288,-0.458181,0.000000,0.000000,-0.041568
1.340065,0.080186,-0.092554,-0.131551,1.291288,-0.458181,0.000000,0.000000,-0.041568
1.360320,0.080174,-0.092554,-0.131575,1.291312,-0.458181,0.000000,0.000000,-0.041568
1.380074,0.080127,-0.092578,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041568
1.400067,0.080150,-0.092578,-0.131551,1.291264,-0.458181,0.000000,0.000000,-0.041568
1.420068,0.080150,-0.092578,-0.131563,1.291300,-0.458193,0.000000,0.000000,-0.041568
1.440256,0.080186,-0.092590,-0.131563,1.291276,-0.458205,0.000000,0.000000,-0.041568
1.460237,0.080186,-0.092554,-0.131539,1.291276,-0.458181,0.000000,0.000000,-0.041568
1.480235,0.080162,-0.092578,-0.131527,1.291288,-0.458193,0.000000,0.000000,-0.041568
1.500208,0.080174,-0.092554,-0.131551,1.291300,-0.458193,0.000000,0.000000,-0.041568
1.520062,0.080186,-0.092554,-0.131527,1.291276,-0.458181,0.000000,0.000000,-0.041568
1.540061,0.080186,-0.092554,-0.131503,1.291288,-0.458205,0.000000,0.000000,-0.041568
1.560149,0.080150,-0.092554,-0.131599,1.291300,-0.458193,0.000000,0.000000,-0.041582
1.580066,0.080150,-0.092554,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041568
1.600066,0.080174,-0.092554,-0.131551,1.291288,-0.458193,0.000000,0.000000,-0.041568
1.620066,0.080174,-0.092578,-0.131563,1.291276,-0.458193,0.000000,0.000000,-0.041568
1.640066,0.080174,-0.092554,-0.131539,1.291288,-0.458229,0.000000,0.000000,-0.041595
1.660071,0.080186,-0.092578,-0.131563,1.291288,-0.458205,0.000000,0.000000,-0.041568
1.680082,0.080150,-0.092578,-0.131563,1.291276,-0.458181,0.000000,0.000000,-0.041568
1.700077,0.080127,-0.092590,-0.131515,1.291288,-0.458205,0.000000,0.000000,-0.041568
1.720060,0.080150,-0.092578,-0.131587,1.291288,-0.458193,0.000000,0.000000,-0.041542
1.740061,0.080174,-0.092578,-0.131539,1.291288,-0.458193,0.000000,0.000000,-0.041568
1.760067,0.080186,-0.092602,-0.131539,1.291276,-0.458181,0.000000,0.000000,-0.041568
1.780387,0.080174,-0.092578,-0.131575,1.291276,-0.458205,0.000000,0.000000,-0.041568
1.800361,0.080186,-0.092578,-0.131563,1.291288,-0.458205,0.000000,0.000000,-0.041582
1.820246,0.080174,-0.092578,-0.131527,1.291288,-0.458181,0.000000,0.000000,-0.041568
1.840063,0.080174,-0.092590,-0.131527,1.291300,-0.458181,0.000000,0.000000,-0.041568
1.860092,0.080174,-0.092578,-0.131515,1.291276,-0.458169,0.000000,0.000000,-0.041568
1.880331,0.080174,-0.092554,-0.131575,1.291288,-0.458193,0.000000,0.000000,-0.041555
1.900061,0.080186,-0.092554,-0.131575,1.291288,-0.458205,0.000000,0.000000,-0.041568
1.920082,0.080174,-0.092554,-0.131551,1.291288,-0.458205,0.000000,0.000000,-0.041555
1.940065,0.080186,-0.092578,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041568
1.960066,0.080174,-0.092578,-0.131575,1.291288,-0.458193,0.000000,0.000000,-0.041568
1.980064,0.080174,-0.092578,-0.131563,1.291264,-0.458217,0.000000,0.000000,-0.041568
2.000067,0.080150,-0.092590,-0.131575,1.291276,-0.458217,0.000000,0.000000,-0.041568
2.020065,0.080150,-0.092578,-0.131551,1.291288,-0.458193,0.000000,0.000000,-0.041555
2.040064,0.080150,-0.092578,-0.131503,1.291288,-0.458181,0.000000,0.000000,-0.041568
2.060065,0.080174,-0.092578,-0.131527,1.291300,-0.458205,0.000000,0.000000,-0.041568
